Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.745536,4.017857,3.392857,3.553571,3.076317,763800800
2000-01-08,3.642857,3.651786,3.089286,3.587054,3.105303,836435600
2000-01-15,3.607143,4.339286,3.587054,3.975446,3.441533,845969600
2000-01-22,3.872768,4.078125,3.593750,3.629464,3.142018,517168400
2000-01-29,3.607143,3.928571,3.375000,3.857143,3.339118,596106000
2000-02-05,3.857143,4.183036,3.783482,3.883929,3.362307,416077200
2000-02-12,3.904018,4.283482,3.879464,3.973214,3.439602,438617200
2000-02-19,3.933036,4.254464,3.810268,3.941964,3.412548,380242800
2000-02-26,3.933036,4.716518,3.870536,4.571429,3.957474,602229600
2000-03-04,4.500000,4.611607,4.223214,4.491071,3.887907,320031600
2000-03-11,4.361607,4.517857,4.071429,4.464286,3.864721,464822400
2000-03-18,4.410714,5.370536,4.343750,4.953125,4.287908,576573200
2000-03-25,4.915179,5.169643,4.479911,4.850446,4.199018,385254800
2000-04-01,4.839286,4.982143,4.169643,4.705357,4.073416,487155200
2000-04-08,4.703125,4.741071,3.745536,3.995536,3.458925,723167200
2000-04-15,3.910714,4.651786,3.895089,4.245536,3.675349,510689200
2000-04-22,4.107143,4.598214,4.098214,4.430804,3.835737,444589600
2000-04-29,4.459821,4.508929,3.948661,4.040179,3.497572,409004400
2000-05-06,4.003348,4.060268,3.526786,3.843750,3.327524,463447600
2000-05-13,3.859375,3.895089,3.334821,3.357143,2.906271,657980400
2000-05-20,3.348214,3.348214,2.964286,3.084821,2.670522,634863600
2000-05-27,3.129464,3.562500,2.870536,3.305804,2.861825,710813600
2000-06-03,3.332589,3.517857,3.203125,3.419643,2.960376,419263600
2000-06-10,3.441964,3.444196,3.149554,3.256696,2.819314,367844400
2000-06-17,3.234375,4.116071,3.207589,3.691964,3.196123,514518200
2000-06-24,3.750000,3.964286,3.647321,3.741071,3.238636,300503000
2000-07-01,3.723214,3.941964,3.544643,3.888393,3.366172,227298400
2000-07-08,3.863839,4.330357,3.839286,4.120536,3.567137,404265400
2000-07-15,4.160714,4.205357,3.696429,3.825893,3.312065,424522000
2000-07-22,3.754464,3.803571,3.348214,3.450893,2.987429,341782000
2000-07-29,3.511161,3.687500,3.160714,3.383929,2.929458,264489400
2000-08-05,3.419643,3.504464,3.254464,3.406250,2.948782,308358400
2000-08-12,3.399554,3.745536,3.308036,3.571429,3.091776,218902600
2000-08-19,3.589286,4.107143,3.544643,4.058036,3.513031,323339800
2000-08-26,4.089286,4.544643,4.075893,4.531250,3.922692,396974200
2000-09-02,4.475446,4.580357,4.125000,4.205357,3.640566,266757400
2000-09-09,4.191964,4.312500,3.875000,3.945313,3.415447,375607400
2000-09-16,3.946429,4.388393,3.571429,3.727679,3.227041,540156400
2000-09-23,3.767857,3.964286,1.812500,1.839286,1.592265,2382493400
2000-09-30,1.906250,1.910714,1.500000,1.584821,1.371976,1853649000
2000-10-07,1.616071,1.633929,1.366071,1.575893,1.364247,1231476400
2000-10-14,1.593750,1.660714,1.308036,1.392857,1.205793,1138537400
2000-10-21,1.447545,1.491071,1.250000,1.325893,1.147822,871516800
2000-10-28,1.366071,1.642857,1.339286,1.589286,1.375840,801738000
2000-11-04,1.602679,1.616071,1.361607,1.361607,1.178740,504154000
2000-11-11,1.339286,1.464286,1.303571,1.321429,1.143957,452181800
2000-11-18,1.328125,1.392857,1.303571,1.379464,1.194199,287870800
2000-11-25,1.419643,1.424107,1.151786,1.218750,1.055069,553842800
2000-12-02,1.227679,1.245536,1.000000,1.075893,0.931398,801126200
2000-12-09,1.084821,1.142857,1.000000,1.004464,0.869562,460230400
2000-12-16,1.040179,1.089286,0.973214,1.071429,0.927533,487510800
2000-12-23,1.062500,1.071429,1.013393,1.062500,0.919804,369448800
2000-12-30,1.062500,1.321429,1.031250,1.169643,1.012557,605284400
2001-01-06,1.209821,1.321429,1.138393,1.227679,1.062798,692630400
2001-01-13,1.245536,1.397321,1.178571,1.392857,1.205793,787666600
2001-01-20,1.361607,1.495536,1.316964,1.397321,1.209657,772119600
2001-01-27,1.397321,1.607143,1.397321,1.473214,1.275358,768923400
2001-02-03,1.464286,1.527902,1.334821,1.366071,1.182604,584231200
2001-02-10,1.361607,1.468750,1.321429,1.357143,1.174875,348909400
2001-02-17,1.370536,1.424107,1.285714,1.343750,1.163281,357744800
2001-02-24,1.361607,1.459821,1.227679,1.375000,1.190334,449962800
2001-03-03,1.383929,1.575893,1.375000,1.446429,1.252169,494877600
2001-03-10,1.406250,1.526786,1.294643,1.401786,1.213522,577939600
2001-03-17,1.410714,1.683036,1.383929,1.642857,1.422217,723695000
2001-03-24,1.652143,1.696429,1.509286,1.576429,1.364710,719087600
2001-03-31,1.577857,1.618571,1.339286,1.470714,1.273194,541683800
2001-04-07,1.477857,1.644286,1.432857,1.601429,1.386352,339246600
2001-04-14,1.577857,1.839286,1.400000,1.788571,1.548362,1159585000
2001-04-21,1.738571,1.877857,1.679286,1.871429,1.620091,625538200
2001-04-28,1.907143,1.937143,1.711429,1.839286,1.592265,468287400
2001-05-05,1.830000,1.840000,1.625714,1.632143,1.412942,352224600
2001-05-12,1.635000,1.821429,1.625000,1.680714,1.454990,339936800
2001-05-19,1.687857,1.723571,1.607143,1.625714,1.407377,396363800
2001-05-26,1.594286,1.607143,1.378571,1.492143,1.291744,548009000
2001-06-02,1.505714,1.550000,1.452143,1.522857,1.318333,411174400
2001-06-09,1.503571,1.552143,1.382143,1.460000,1.263918,465313800
2001-06-16,1.457857,1.642857,1.427143,1.590000,1.376459,431494000
2001-06-23,1.607143,1.792857,1.603571,1.660714,1.437676,487565400
2001-06-30,1.688571,1.730714,1.551429,1.573571,1.362237,199451000
2001-07-07,1.577857,1.786429,1.488571,1.775000,1.536613,568197000
2001-07-14,1.777143,1.801429,1.392143,1.427143,1.235474,842308600
2001-07-21,1.435000,1.464286,1.275000,1.354286,1.172401,434222600
2001-07-28,1.365714,1.421429,1.322143,1.392857,1.205793,305166400
2001-08-04,1.360000,1.407143,1.324286,1.358571,1.176112,232999200
2001-08-11,1.364286,1.382857,1.283571,1.290714,1.117368,290686200
2001-08-18,1.295714,1.330000,1.255714,1.326429,1.148286,279847400
